Column1,fat,carbohydrates,fibres,protein,vitamin_A,vitamin_B1,vitamin_B2,vitamin_B6,vitamin_B12,vitamin_B3,vitamin_B9,vitamin_B5,vitamin_C,vitamin_D,vitamin_E,potassium,sodium,calcium,magnesium,iron,zinc,selenium,Name,Category,Food_category,Vegan_cat,count,portion,vegan_score,vegan_score_2
882,24,1,29,30,2,27,13,20,0,6,17,6,9,0,5,14,0,7,24,15,19,0,soybean cooked,"Cereal products, pulses and potatoes/Pulses",Cereal,vegan,17,100,17.84,3.87
561,23,20,51,37,0,85,20,26,0,8,17,21,0,0,14,14,0,6,77,36,39,0,oat bran,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,18,100,29.65,6.26
774,19,8,9,5,0,10,5,11,0,12,6,7,22,0,15,11,33,1,8,3,5,0,rosti unprepared,"Cereal products, pulses and potatoes/Potatoes",Cereal,vegan,15,100,3.52,0.74
947,19,1,4,31,0,8,4,4,0,3,7,2,0,0,10,4,1,19,25,19,19,0,tofu firm plain,Meat substitutes,Other,vegan,11,100,22.11,4.67
1016,16,7,150,30,0,83,46,39,0,150,65,38,0,0,22,34,0,7,155,107,115,0,wheat bran,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,18,100,65.08,13.73
431,15.67,1.33,5.67,5,0.33,6,1.67,3.67,0,2.67,5,1,1.67,0,5,2,10.33,5.67,8.33,4.67,5.33,0,hummus,Various/Sauces,Sauces,vegan,16,33.33,5.19,1.11
111,15,18,12,18,5,17,9,9,1,10,7,6,0,0,3,4,41,3,12,10,15,5,bread,"Bread, flakes and breakfast cereals/Bread and bread products",Cereal,vegan,17,100,11.56,2.7
692,14,29,2,17,2,1,4,0,0,6,0,0,0,0,9,3,114,14,0,5,6,0,pretzel sticks,Savoury snacks/Salt sticks and pretzels,Other,vegan,10,100,10.55,2.33
647,14,25,50,24,1,20,18,14,0,17,8,7,0,0,92,8,0,1,35,18,21,0,popcorn,Savoury snacks/Other savoury snacks,Other,vegan,17,100,16.08,3.45
533,13,28,13,21,0,33,10,29,0,15,7,12,0,0,1,4,0,1,39,46,36,0,millet wholemeal flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,15,100,26.13,5.51
212,13,14.5,17.5,5.5,0,2,6,2,0,3.5,2,3,0,0,1,8,0,2,21,14,11,0,chocolate powder,Sweets/Chocolate and cocoa products;Non-alcoholic beverages/Cocoa beverages,Sweets,vegan,13,50,8.17,1.72
683,13,5,6,3,0,7,4,7,0,8,4,5,14,0,11,7,4,1,5,2,2,0,potato salad with oil and vinagre dressing,Prepared dishes/Salads,Cereal,vegan,8,100,2.01,0.42
1010,11.67,6.67,1.33,2,0,0,0,0,0,0,0,0,0,0,0,0,51.67,0,0,0,0,0,wasabi paste,Various/Sauces,Sauces,vegan,6,33.33,0.5,0.11
177,11,26,32,22,0,32,9,19,0,23,13,12,0,0,5,6,0,3,30,24,28,0,cereal flakes,"Bread, flakes and breakfast cereals/Flakes, bran and germs",Cereal,vegan,16,100,19.35,4.08
1082,11,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,almond drink plain,Milk and dairy products/Milk substitutes,beverages,vegan,1,100,0.5,0.11
948,11,0,1,12,0,8,2,6,0,4,15,3,0,0,4,6,2,9,10,8,1,0,tofu silken plain,Meat substitutes,Other,vegan,9,100,7.54,1.59
